country,state,abbv,county,city,address,zipcode,loc_no,name,cer_no,date_cer,ownership,lrd,ncs,pts,sps,hhas,sq,sqr
United States,Florida,FL,Miami-Dade,NORTH MIAMI BEACH,18677 W DIXIE HIGHWAY,33180,31352,COMMUNITY HOME HEALTH SERVICES,108163,2005-04-14,Proprietary,2007-04-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Orange,ORLANDO,12701 S JOHN YOUNG PKWY STE 219,32837,32102,GREYSTONE HOME HEALTH,108156,2005-04-15,Proprietary,2007-04-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Escambia,PENSACOLA,8800 UNIVERSITY PARKWAY SUITE C-3,32514,32777,SUNCREST OMNI,108168,2005-05-04,Proprietary,2007-05-04,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Escambia,PENSACOLA,9013 UNIVERSITY PKWY STE A,32514,32777,CARING HEARTS HOME HEALTH,109664,2011-02-18,Proprietary,2013-02-18,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Pasco,ZEPHYRHILLS,37834 MEDICAL ARTS CT  STE B,33541,35527,WEST FLORIDA HEALTH HOME CARE PASCO,108170,2005-05-12,Non - Profit Religious,2007-05-12,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Collier,NAPLES,5020 TAMIAMI TRL N STE 200,34103,30977,AMERICARE HOME HEALTH SERVICES INC.,108172,2005-05-26,Proprietary,2007-05-26,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Florida,FL,Collier,NAPLES,111 MOORINGS PARK DR,34105,31002,MOORINGS PARK HOME HEALTH AGENCY,108175,2005-06-23,Proprietary,2007-06-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Okaloosa,FORT WALTON BEACH,11 RACETRACK ROAD NE SUITE H-3,32547,27427,ANGELS CARE HOME HEALTH OF THE EMERALD COAST,108181,2005-07-28,Non - Profit Private,2007-07-28,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Okaloosa,FORT WALTON BEACH,1001 MAR WALT DR,32547,27427,BROOKDALE HOME HEALTH FT WALTON,109595,2010-09-30,Proprietary,2012-09-30,YES,YES,YES,NO,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,HIALEAH GARDENS,9500 NW 77 AVE STE 18,33016,27877,BEST HOME CARE CORPORATION,108178,2005-08-03,Proprietary,2007-08-03,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,7600 W 20 AVE STE 102,33016,27827,TC HOME HEALTH CARE INC,108186,2005-08-10,Proprietary,2007-08-10,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,2387 W 68TH ST STE 301,33016,27827,HEALTHMAX HOME CARE SERVICES INC,109256,2009-05-06,Proprietary,2011-05-06,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,8325 W 24TH AVE BAY 7,33016,27827,DIMENSION HOME HEALTH CARE INC,109407,2009-11-08,Proprietary,2011-11-08,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,7600 WEST 20TH AVENUE STE 218,33016,27827,QUALITY LIFE HOME CARE CORP,109496,2010-05-19,Proprietary,2012-05-19,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,2100 W 76 ST  STE 308,33016,27827,MIMA PROFESSIONAL HOME CARE INC,109652,2011-03-03,Proprietary,2013-03-03,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,HIALEAH,8325 W 24 AVE BAY 9,33016,27827,HUMAN TOUCH HOME HEALTH INC,109724,2011-09-16,Proprietary,2013-09-16,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,9415 SW 72 ST STE 252,33143,30152,PREFERRED CARE HOME HEALTH SERVICES,108202,2005-08-24,Proprietary,2007-08-24,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,MIAMI,8000 SW 67 AVE 2ND FLOOR,33143,30152,LIFELINE HOME HEALTHCARE PROVIDERS INC,108237,2005-12-09,Proprietary,2007-12-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Osceola,KISSIMMEE,968 E OSCEOLA PARKWAY,34744,28652,AT HOME COMPANION OF FLORIDA INC,108196,2005-08-31,Proprietary,2007-08-31,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Osceola,KISSIMMEE,2715 MICHIGAN AVE,34744,28652,ACTELL ELDERLY CARE INC,109698,2010-04-09,Non - Profit Religious,2012-04-09,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Osceola,KISSIMMEE,524 SIMPSON RD,34744,28652,TRUE HELP SERVICES INC,683138,2014-01-22,Proprietary,2016-01-22,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Osceola,KISSIMMEE,1130 E DONEGAN AVE STE 8,34744,28652,CROWN HOME CARE INC,683165,2014-11-12,Proprietary,2016-11-12,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Orange,ORLANDO,5104 N ORANGE BLOSSOM TR STE 116,32810,31902,5 STAR HOME HEALTH SERVICES INC,108195,2005-09-01,Proprietary,2007-09-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Orange,ORLANDO,933 LEE RD STE 200,32810,31902,CENTRAL FLORIDA QUALITY CARE SERVICES INC,109607,2010-11-05,Proprietary,2012-11-05,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Orange,ORLANDO,5104 N ORANGE BLOSSOM TRAIL STE 208,32810,31902,GENESIS HOME HEALTH CARE SERVICES OF CENTRAL FLORI,103148,2012-10-24,Proprietary,2014-10-24,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Volusia,PORT ORANGE,851 DUNLAWTON AVE STE 202,32127,33102,FAMILY HOME HEALTH SERVICES,108203,2005-09-15,Proprietary,2007-09-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,MIAMI,700 SW 8 ST,33130,30052,LITTLE HAVANA ACTIVITES & NUTRITION CENTERS OF DAD,108205,2005-09-26,Non - Profit Other,2007-09-26,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Duval,JACKSONVILLE,2651 PARK ST,32204,28177,ST VINCENTS HOME HEALTH,108215,2005-09-28,Proprietary,2007-09-28,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Duval,JACKSONVILLE,724 COLLEGE ST STE 101,32204,28177,ALLEGIANT HOME CARE,103183,2013-03-22,Proprietary,2015-03-22,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Brevard,MELBOURNE,1010 E NEW HAVEN AVE STE A,32901,29752,ALOHA HOME CARE,108218,2005-10-04,Proprietary,2007-10-04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Brevard,MELBOURNE,101 EAST FLORIDA AVE,32901,29752,SEA PINES HOME HEALTH SERVICES,108471,2007-09-20,Proprietary,2009-09-20,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Florida,FL,Hillsborough,TAMPA,14035 N DALE MABRY HWY UNIT N-18,33618,34552,LIFESPRING HOME CARE OF TAMPA,108219,2005-10-19,Proprietary,2007-10-19,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Hillsborough,TAMPA,10502 N DALE MABRY HWY,33618,34552,ACHIEVE HOME CARE LLC,109193,2009-02-17,Proprietary,2011-02-17,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Hillsborough,TAMPA,2529 W BUSCH BLVD 700,33618,34552,CARES HOME HEALTHCARE CORP,683118,2013-12-11,Proprietary,2015-12-11,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Hernando,SPRING HILL,2977 LANDOVER BLVD,34608,33877,HORIZON HOMECARE LLC,108223,2005-10-28,Proprietary,2007-10-28,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Hernando,SPRING HILL,10508 SPRING HILL DR,34608,33877,FUSION HEALTHCARE,109435,2009-09-23,Proprietary,2011-09-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Sumter,LADY LAKE,1554 BELLA CRUZ DR,32162,28727,BETTER @ HOME,108235,2005-11-02,Non - Profit Private,2007-11-02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Sarasota,OSPREY,420 S TAMIAMI TRAIL,34229,32152,ALLPRO HOME HEALTH LLC,108242,2005-12-20,Proprietary,2007-12-20,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Sarasota,OSPREY,678 S TAMIAMI TRAIL,34229,32152,SARASOTA HOME HEALTH CARE AGENCY LLC,109119,2009-01-23,Proprietary,2011-01-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,MIAMI,5600 SW 135TH AVE STE 211,33183,30602,CARE ONE HOME HEALTH INC,108248,2006-01-03,Proprietary,2008-01-03,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,5600 SW 135TH AVE STE 200,33183,30602,FLA AFFORDABLE HOME HEALTH CARE CORP,108294,2006-05-01,Proprietary,2008-05-01,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,13831 SW 59 STREET SUITE 105,33183,30602,PREFERRED HOME HEALTH AGENCY INC,108322,2006-06-29,Proprietary,2008-06-29,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,5600 SW 135 AVE STE 202A,33183,30602,MD NURSING CORP,109284,2009-05-24,Proprietary,2011-05-24,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,5600 SW 135 AVE STE 213,33183,30602,E & R HEALTH CARE INC,103146,2012-11-20,Proprietary,2014-11-20,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Broward,CORAL SPRINGS,210 N UNIVERSITY DR STE 900,33071,26202,NURSE ON CALL,108253,2006-02-01,Proprietary,2008-02-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,WESTON,16102 EMERALD ESTATES DR,33331,35327,THE PALACE AT HOME,108257,2006-02-01,Proprietary,2008-02-01,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Orange,ORLANDO,1510 E COLONIAL DR STE 101,32803,31777,AMERICAN NURSES,108258,2006-02-01,Proprietary,2008-02-01,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Orange,ORLANDO,824 LAKE BALDWIN LANE,32803,31777,LEEDER HOME HEALTH CARE SERVICES LLC,109446,2009-07-17,Proprietary,2011-07-17,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Orange,ORLANDO,1239 MOUNT VERNON ST,32803,31777,ALLIANCE A+ HOME CARE,109756,2012-01-04,Proprietary,2014-01-04,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Orange,ORLANDO,3660 MAGUIRE BLVD STE 100,32803,31777,NURSES AND MORE INC,109784,2012-02-03,Proprietary,2014-02-03,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Lake,EUSTIS,900 E ORANGE AVE,32726,26977,PREFERRED HOME HEALTH PROVIDERS INC,108261,2006-02-14,Proprietary,2008-02-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Lake,EUSTIS,2575 KURT ST STE 104,32726,26977,RELIABLE HEALTH CARE INC,109677,2011-03-25,Proprietary,2013-03-25,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Highlands,SEBRING,3210 PHYSICIANS WAY,33870,33752,SEBRING NURSING SERVICES INC,108262,2006-02-16,Proprietary,2008-02-16,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Highlands,SEBRING,1570 LAKEVIEW DR  UNIT H-STE 100,33870,33752,PALMS HOME CARE,108305,2006-06-01,Proprietary,2008-06-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Lake,LADY LAKE,13940 N US HWY 441 BLDG 603 STE 603,32159,28702,ALL COAST THERAPY SERVICES INC,108268,2006-02-16,Proprietary,2008-02-16,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Lake,LADY LAKE,130 N OLD DIXIE HWY,32159,28702,FLORIDA HOMECARE SPECIALISTS INC,109071,2008-08-15,Proprietary,2010-08-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,MIAMI,11601 BISCAYNE BLVD STE 309,33181,30577,HOME CARE RESOURCES HOME HEALTH AGENCY INC.,108265,2006-02-21,Proprietary,2008-02-21,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Martin,STUART,759 SW FEDERAL HWY STE 300,34994,33927,SIGNATURE HOMENOW,108274,2006-03-09,Proprietary,2008-03-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Martin,STUART,1320 SE FEDERAL HIGHWAY,34994,33927,SUPERIOR CARE HOME HEALTH AGENCY LLC,687020,2016-03-10,Proprietary,2016-03-10,YES,NO,NO,YES,Not Available,
United States,Florida,FL,Broward,LIGHTHOUSE POINT,2261 NE 36 ST STE 1,33064,29477,THE NURSES GUILD,108276,2006-03-14,Proprietary,2008-03-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,LIGHTHOUSE POINT,3170 N FEDERAL HWY STE 107,33064,29477,UNLIMITED HEALTH CARE SERVICES INC.,109768,2012-03-08,Proprietary,2014-03-08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,LAKE WORTH,6803 LAKE WORTH RD STE 310,33467,28902,HOME HEALTH ASSOCIATES LLC,108278,2006-03-15,Proprietary,2008-03-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,LAKE WORTH,3918 VIA POINCIANA DR STE 7,33467,28902,RELIANCE HOME HEALTH CARE LLC,108315,2006-05-26,Proprietary,2008-05-26,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,LAKE WORTH,4075 STATE RD 7 STE D,33467,28902,OPTIONS HOME HEALTH,108331,2006-07-14,Proprietary,2008-07-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,LAKE WORTH,8401 LAKE WORTH RD  STE 210,33467,28902,SUNSHINE STATE HOME HEALTH INC.,109311,2009-03-20,Proprietary,2011-03-20,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Palm Beach,LAKE WORTH,6894 LAKE WORTH RD STE 207,33467,28902,HOMEWOOD HOME HEALTH LLC,103166,2013-01-08,Proprietary,2015-01-08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Volusia,SOUTH DAYTONA,1801 S NOVA RD STE 110,32119,33802,DOCTORS CHOICE,108284,2006-03-24,Proprietary,2008-03-24,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Florida,FL,Miami-Dade,SOUTH MIAMI,6230 SW 70 ST,33143,33827,LARKIN HOME HEALTH SERVICES INC,108291,2006-04-14,Proprietary,2008-04-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Pinellas,TARPON SPRINGS,1787 S PINELLAS AVE STE 600,34689,34727,PINNACLE HOME CARE OF PINELLAS INC,108290,2006-04-20,Proprietary,2008-04-20,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Orange,ORLANDO,7200 LAKE ELLENOR DR STE 240,32809,31877,CONTINUOUS CARE HEALTH SERVICES CORP,108314,2006-05-09,Proprietary,2008-05-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Orange,ORLANDO,1650 W SANDLAKE RD STE 270,32809,31877,HAVEN HOME HEALTH CARE,109734,2011-11-01,Proprietary,2013-11-01,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Orange,ORLANDO,1650 SAND LAKE RD STE 212,32809,31877,UTOPIA HOME CARE INC,683124,2013-12-04,Proprietary,2015-12-04,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Orange,ORLANDO,7200 LAKE ELLENOR DR STE 200,32809,31877,GENCARE RESOURCES HOME HEALTH CARE,683192,2015-04-14,Proprietary,2015-04-14,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,NORTH MIAMI BEACH,290 NW 165TH STREET STE P-100,33169,31302,SILVEROAK HOME HEALTH CARE SERVICES INC,108304,2006-06-06,Proprietary,2008-06-06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,NORTH MIAMI BEACH,16800 NW 2 AVE   STE 400,33169,31302,VITAS CARE SOLUTIONS INC,109573,2010-09-08,Proprietary,2012-09-08,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,FORT LAUDERDALE,915 MIDDLE RIVER DR STE 314,33304,27052,CERTIFIED HEALTH CARE SERVICES INC.,108310,2006-06-08,Proprietary,2008-06-08,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,NORTH MIAMI BEACH,3909 NE 163RD STREET UNIT 303,33160,31252,HEALTH CARE OF SOUTH FLORIDA CORP,108307,2006-06-14,Proprietary,2008-06-14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,PAHOKEE,725 E MAIN ST STE B,33476,32202,LAKESIDE QUALITY HOME HEALTH CARE INC,108327,2006-06-28,Proprietary,2008-06-28,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,DEERFIELD BEACH,600 W HILLSBORO BLVD,33441,26627,INFINITY HOME CARE OF BROWARD,108342,2006-07-20,Proprietary,2008-07-20,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,DEERFIELD BEACH,10 FAIRWAY DR STE110,33441,26627,KAERBEAR'S HEALTHCARE LLC,109244,2009-05-06,Proprietary,2011-05-06,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Broward,SUNRISE,7800 W OAKLAND PARK BLVD STE E 115,33351,34102,ABBEY HOME HEALTH CARE INC,108334,2006-08-09,Proprietary,2008-08-09,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,SUNRISE,10216 NW 50TH ST,33351,34102,CARING PARTNERS HOME CARE AGENCY LLC,108454,2007-08-07,Proprietary,2009-08-07,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,SUNRISE,10286 NW 47TH ST,33351,34102,A + QUALITY HOME HEALTH CARE,108456,2007-08-29,Proprietary,2009-08-29,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Broward,SUNRISE,8411 W OAKLAND PK BLVD   STE 300,33351,34102,ALL PROFESSIONAL HOME CARE INC.,109373,2009-08-05,Proprietary,2011-08-05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,SUNRISE,10001 NW 50 ST STE 102A,33351,34102,MASTER HOME HEALTH CARE INC.,109602,2010-10-08,Proprietary,2012-10-08,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,SUNRISE,8358 W OAKLAND PARK BLVD  STE 100A,33351,34102,TRUST USA HOME HEALTH LLC,109594,2010-10-27,Proprietary,2012-10-27,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,SUNRISE,7800 W OAKLAND PARK BLVD STE 206,33351,34102,ACE HOME HEALTH CORP,109684,2011-03-09,Proprietary,2013-03-09,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HOMESTEAD,317 N KROME AVE,33030,28027,A PLUS HOME CARE AGENCY INC,108350,2006-09-19,Proprietary,2008-09-19,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HOMESTEAD,950 N KROME AVENUE  STE 205,33030,28027,HORIZON HOME HEALTH CARE INC,109011,2008-06-10,Proprietary,2010-06-10,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,HOMESTEAD,43 NE 10TH ST,33030,28027,TODAY'S HOME HEALTH SERVICES INC,109343,2009-07-29,Proprietary,2011-07-29,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Volusia,DAYTONA BEACH,425 N CLYDE MORRIS BLVD,32114,26502,HALIFAX HEALTH CARE AT HOME,108359,2006-10-13,Government - Combination Government & Voluntary,2008-10-13,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Volusia,DAYTONA BEACH,1704 HUNTINGTON VILLAGE CIR STE A,32114,26502,GREYSTONE HOME HEALTHCARE,103164,2012-12-26,Proprietary,2014-12-26,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,PLANTATION,4330 W BROWARD BLVD  STE H,33317,32877,K & D HOME HEALTH CARE CORP.,108375,2006-11-28,Proprietary,2008-11-28,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,PLANTATION,4121 NW 5TH ST STE 218,33317,32877,COMPASSIONATE CARING HOME CARE INC,109324,2009-08-05,Proprietary,2011-08-05,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,PLANTATION,150 NW 70TH AVE STE 9,33317,32877,CARING AT HOME HEALTHCARE LLC,109486,2010-02-24,Proprietary,2012-02-24,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Broward,FORT LAUDERDALE,5700 N FEDERAL HWY STE 2,33308,27102,HIGHLITE HOME CARE INC.,108372,2006-12-06,Proprietary,2008-12-06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,DORAL,4005 NW 114 AVENUE  UNIT 4,33178,26902,ON THE WAY HOME CARE INC,108394,2007-02-28,Proprietary,2009-02-28,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,WEST MIAMI,1350 SW 57 AVE STE 315,33144,35127,MAM HOME HEALTH ENTERPRISES,108396,2007-03-07,Proprietary,2009-03-07,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,1865 BRICKELL AVE STE A - 209,33129,30027,LOVABLE HOME HEALTH SERVICES CORP,108404,2007-03-09,Proprietary,2009-03-09,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,2700 SW 3 AVENUE SUITE 2E,33129,30027,READY CARE HOME HEALTH INC,109002,2008-03-27,Proprietary,2010-03-27,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,MIAMI,1815 PURDY AVE,33129,30027,HOME MED SOLUTIONS LLC,109052,2008-09-22,Proprietary,2010-09-22,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Polk,LAKELAND,1543 LAKELAND HILLS BLVD STE C,33805,28977,ALPHA BRIDGE HOME HEALTH LLC,108402,2007-03-27,Proprietary,2009-03-27,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Polk,LAKELAND,2322 LAKELAND HILLS BLVD,33805,28977,SIGNATURE HOMENOW,108437,2007-07-24,Proprietary,2009-07-24,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Miami-Dade,BAY HARBOR ISLANDS,1111 KANE CONCOURSE STE 501,33154,25152,RX HOME HEALTH SERVICES INC,108422,2007-06-26,Proprietary,2009-06-26,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,HOLLYWOOD,901 S STATE RD 7  STE 465,33023,27977,VIRTUE HEALTH CARE SERVICES INC,108432,2007-06-26,Proprietary,2009-06-26,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,HOLLYWOOD,901 S STATE RD 7 STE 430,33023,27977,QUALITY HOME HEALTH SERVICES INC.,109604,2010-09-24,Proprietary,2012-09-24,YES,YES,NO,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,2500 NW 79TH AVE STE 167,33122,26802,E & V HEALTH CARE INC,108424,2007-07-02,Proprietary,2009-07-02,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,7910 NW 25TH ST STE 208,33122,26802,SOMMET HOME CARE INC,109365,2009-05-28,Proprietary,2011-05-28,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,8200 NW 27 ST 105,33122,26802,METRO DADE HOME HEALTH INC,109319,2009-06-26,Proprietary,2011-06-26,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,8280 NW 27 STREET STE 516,33122,26802,D & V HOME HEALTH CARE INC,109577,2010-09-14,Proprietary,2012-09-14,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,3555 NW 79TH AVE STE 200,33122,26802,HEAVENLY TOUCH HOME HEALTH CARE CORP,109617,2011-01-06,Proprietary,2013-01-06,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Miami-Dade,DORAL,2500 NW 79 AVE 116 & 117,33122,26802,HEARTWELL HOME HEALTHCARE CORP,103137,2012-08-03,Proprietary,2014-08-03,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Seminole,LONGWOOD,2180 W STATE ROAD 434 STE 6140,32779,29577,SIGNATURE HOMENOW,108427,2007-07-03,Proprietary,2009-07-03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Hillsborough,TAMPA,13049 WEST LINEBAUGH AVE STE 101,33626,34627,GREYSTONE HOME HEALTH,108430,2007-07-10,Proprietary,2009-07-10,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,GREENACRES,6801 LAKE WORTH RD STE 205,33467,27627,TWENTYFOUR SEVEN HOME HEALTH CARE INC,108435,2007-07-10,Proprietary,2009-07-10,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Palm Beach,GREENACRES,6801 LAKE WORTH RD STE 306 & 307,33467,27627,ALL HEALTH CARE SERVICES INC,109712,2011-08-25,Proprietary,2013-08-25,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Broward,HOLLYWOOD,2514 HOLLYWOOD BLVD STE 203,33020,27927,TRI-COUNTY HOMECARE OF FLORIDA INC.,108445,2007-08-09,Proprietary,2009-08-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,HOLLYWOOD,2450 HOLLYWOOD BLVD  STE 102,33020,27927,PRESTIGE HOME CARE SERVICES OF BROWARD INC.,109016,2008-05-08,Proprietary,2010-05-08,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Florida,FL,Broward,HOLLYWOOD,2750 N 29 AVE STE 320,33020,27927,TIMELESS HOME CARE INC.,109485,2009-12-15,Proprietary,2011-12-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,HOLLYWOOD,2700 N 29TH AVE STE 101,33020,27927,PATIENT CARE HOME HEALTH OF BROWARD,109590,2010-04-09,Proprietary,2012-04-09,YES,YES,YES,YES,Not Available,
United States,Florida,FL,Broward,HALLANDALE BEACH,1001 N FEDERAL HWY STE 244,33009,27677,ULTIMATE HOME CARE INC,108450,2007-08-15,Proprietary,2009-08-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Florida,FL,Broward,HALLANDALE BEACH,1013 N DIXIE HWY,33009,27677,BEE WELL HOME HEALTH CARE INC,109675,2011-04-07,Proprietary,2013-04-07,YES,YES,YES,YES,Not Available,
